,Mean Terminal Wealth,Median Terminal Wealth,5th Percentile Wealth,95th Percentile Wealth,Probability of Loss,Median CAGR,Median Maximum Drawdown,5th Percentile Drawdown
Parametric Monte Carlo,261676.05470598955,253414.99536307724,168225.99398715267,381819.17432223004,0.0,0.09744617958927049,-0.0942724832448491,-0.16311755466211716
Historical Block Bootstrap,260573.62189604083,254586.3672344891,168913.30868994462,373518.08728037885,0.0,0.09795240495968194,-0.10424577846459887,-0.19070622432586692
