,Expected Return,Volatility,Sharpe Ratio
Maximum-Sharpe,0.10195647516863397,0.0897873523085432,0.9569258200961089
Minimum-Volatility,0.043555552446860955,0.04990299833027493,0.5514480881130323
Equal-Weight,0.085815717208033,0.10661850701217658,0.6544743472494952
