,Maximum-Sharpe,Minimum-Volatility,Equal-Weight
SPY,0.06301332034524444,0.10379343819753974,0.1
QQQ,0.3499999999999999,0.0,0.1
IWM,1.400653681579711e-17,1.3027844555655907e-17,0.1
EFA,2.8438199467821154e-16,0.021961002583532233,0.1
EEM,1.5066852659170044e-16,1.068964473091896e-17,0.1
TLT,0.042401625445920695,0.07320205675613316,0.1
LQD,1.8330640011530314e-16,0.35,0.1
GLD,0.21904173100020755,0.10104350246279485,0.1
VNQ,0.0,2.3106771362300183e-17,0.1
BIL,0.3255433232086269,0.35,0.1
