Investment Horizon,Years,Probability of Loss,Median Wealth,5th Percentile Wealth,95th Percentile Wealth,Probability of Doubling
1 Years,1,0.1227,109724.60700129307,96266.07134658587,125106.86027888405,0.0
3 Years,3,0.0222,132260.71791564798,105259.84220060987,165037.6946490681,0.0012
5 Years,5,0.0042,159409.59669733737,119259.30490259836,212547.38505902723,0.0981
7 Years,7,0.0009,191485.37804825883,135953.6246218746,270256.76410651905,0.4172
10 Years,10,0.0,253414.99536307724,168225.99398715267,381819.17432223004,0.8285
